CAS_Number,SMILES,pLD50,"LD50,mg/kg"
59547-52-3,O=C(O)CCCNC(=O)CCCCC1CCSS1,2.51564,887.96
29839-76-7,CC1C(O)C(C)(C)OC1(C)C,2.51808,479.67
1082-92-4,Cc1ncc(CSS(=O)(=O)O)c(CO)c1O,2.5185,803.08
64047-23-0,CC1(c2ccccc2)OC(=O)NC1=O,2.52179,574.62
100-51-6,OCc1ccccc1,2.52344,323.75
63094-36-0,COc1ccc2nc3ccc(C(=O)O)cn3c(=O)c2c1,2.52867,799.47
3426-01-5,O=C1NN(c2ccccc2)C(=O)C1c1ccccc1,2.53264,739.46
76899-86-0,CC1(C)SC2C(NC(=O)C(NC(=O)c3ccc(-c4ccc(NC(=O)C5CCC(=O)N5)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,2.53701,1998.48
79033-91-3,CC(=O)NC(C)C(=O)Nc1ccc(-c2nc(=O)c(C(=O)NC(C(=O)NC3C(=O)N4C3SC(C)(C)C4C(=O)O)c3ccc(O)cc3)c[nH]2)cc1,2.5389,1998.51
64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.54544,769.29
76880-59-6,CC(=O)NCCCC(=O)Nc1ccc(-c2ccc(C(=O)NC(C(=O)NC3C(=O)N4C3SC(C)(C)C4C(=O)O)c3ccc(O)cc3)c(=O)[nH]2)cc1,2.54701,1998.48
75808-47-8,CSCCC(NC(=S)S)C(=O)O,2.54942,634.97
56379-74-9,C#CCOP(=O)(OC)OC,2.55234,459.79
93-35-6,O=c1ccc2ccc(O)cc2o1,2.55669,449.69
56881-36-8,Cc1cc2nncn2c(=O)[nH]1,2.5595,413.76
51134-93-1,O=C(CCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,2.5606,3299.2
73825-96-4,CCNCC(C)(C)O,2.56375,319.79
108-93-0,OC1CCCCC1,2.56613,271.804
164455-27-0,CC1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,2.56878,798.92
73839-78-8,Cc1ncc2coc(OCCO)c2c1O,2.57238,559.65
20496-36-0,C=CCOCP(=O)(COCC=C)OCC,2.57377,624.65
123-51-3,CC(C)CCO,2.57601,233.838
20520-37-0,CC1(C)SC2C(NC(=O)c3ccc(Br)o3)C(=O)N2C1C(=O)O,2.57694,1027.68
540-72-7,N#CS,2.57961,155.281
5344-27-4,OCCc1ccncc1,2.5853,319.77
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,2.58726,719.49
63339-68-4,CC1c2c[nH]c3cccc(c23)SC1C(=O)O,2.58975,599.38
